person_id,first_name,last_name,speech_id,theme_name,entailment_score,classification,speech_title,speech_link,speech_content_preview,group_code,country
197402,Tomas,Tobé,f71cc103fe6c44b27b886ab41a9643e4,HumanRightsViolations,0.0051356656476855,neutral,"Verbatim report of proceedings - Managing migration in an effective and holistic way through fostering returns (debate) - Wednesday, 23 October 2024",https://www.europarl.europa.eu/doceo/document/CRE-10-2024-10-23-ITM-002_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – Madam President, Commissioner, the EPP Group strongly w",EPP,SWE
197402,Tomas,Tobé,f71cc103fe6c44b27b886ab41a9643e4,AgainstReturnHubs,0.000309841328999,neutral,"Verbatim report of proceedings - Managing migration in an effective and holistic way through fostering returns (debate) - Wednesday, 23 October 2024",https://www.europarl.europa.eu/doceo/document/CRE-10-2024-10-23-ITM-002_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – Madam President, Commissioner, the EPP Group strongly w",EPP,SWE
197402,Tomas,Tobé,f71cc103fe6c44b27b886ab41a9643e4,CriticizesBorderFence,0.0030748415738344,neutral,"Verbatim report of proceedings - Managing migration in an effective and holistic way through fostering returns (debate) - Wednesday, 23 October 2024",https://www.europarl.europa.eu/doceo/document/CRE-10-2024-10-23-ITM-002_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – Madam President, Commissioner, the EPP Group strongly w",EPP,SWE
197402,Tomas,Tobé,fe94a2443d7bdf719447dd0bd12f3b3b,HumanRightsViolations,0.002201170893386,neutral,"Verbatim report of proceedings - After 10 years, time to end mass migration now - protect our women and children (topical debate) - Wednesday, 10 September 2025",https://www.europarl.europa.eu/doceo/document/CRE-10-2025-09-10-ITM-008_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – Madam President, Europe needs strong borders and a cont",EPP,SWE
197402,Tomas,Tobé,fe94a2443d7bdf719447dd0bd12f3b3b,AgainstReturnHubs,0.0003668781428132,neutral,"Verbatim report of proceedings - After 10 years, time to end mass migration now - protect our women and children (topical debate) - Wednesday, 10 September 2025",https://www.europarl.europa.eu/doceo/document/CRE-10-2025-09-10-ITM-008_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – Madam President, Europe needs strong borders and a cont",EPP,SWE
197402,Tomas,Tobé,fe94a2443d7bdf719447dd0bd12f3b3b,CriticizesBorderFence,0.0031972851138561,neutral,"Verbatim report of proceedings - After 10 years, time to end mass migration now - protect our women and children (topical debate) - Wednesday, 10 September 2025",https://www.europarl.europa.eu/doceo/document/CRE-10-2025-09-10-ITM-008_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – Madam President, Europe needs strong borders and a cont",EPP,SWE
197402,Tomas,Tobé,e13e423608adb9eb9c16df39601bce6d,HumanRightsViolations,0.0121437003836035,neutral,"Verbatim report of proceedings - Need to prevent security threats like the Solingen attack through addressing illegal migration and effective return (debate) - Monday, 16 September 2024",https://www.europarl.europa.eu/doceo/document/CRE-10-2024-09-16-ITM-015_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – (Start of speech off mic) ... prevent security threats ",EPP,SWE
197402,Tomas,Tobé,e13e423608adb9eb9c16df39601bce6d,AgainstReturnHubs,0.0002059001999441,neutral,"Verbatim report of proceedings - Need to prevent security threats like the Solingen attack through addressing illegal migration and effective return (debate) - Monday, 16 September 2024",https://www.europarl.europa.eu/doceo/document/CRE-10-2024-09-16-ITM-015_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – (Start of speech off mic) ... prevent security threats ",EPP,SWE
197402,Tomas,Tobé,e13e423608adb9eb9c16df39601bce6d,CriticizesBorderFence,0.0017921183025464,neutral,"Verbatim report of proceedings - Need to prevent security threats like the Solingen attack through addressing illegal migration and effective return (debate) - Monday, 16 September 2024",https://www.europarl.europa.eu/doceo/document/CRE-10-2024-09-16-ITM-015_EN.html,"  Tomas Tobé,  on behalf of the PPE Group. – (Start of speech off mic) ... prevent security threats ",EPP,SWE
197402,Tomas,Tobé,ba178ed7b401848e1073c1792fd26720,HumanRightsViolations,0.0038888985291123,neutral,"Verbatim report of proceedings - 100 days of the new Commission – Delivering on defence, competitiveness, simplification and migration as our priorities (topical debate) - Wednesday, 12 March 2025",https://www.europarl.europa.eu/doceo/document/CRE-10-2025-03-12-ITM-010_EN.html,"  Tomas Tobé (PPE).   – Madam President, Vice-President, a clear EPP priority for the coming years i",EPP,SWE
197402,Tomas,Tobé,ba178ed7b401848e1073c1792fd26720,AgainstReturnHubs,0.00095037126448,neutral,"Verbatim report of proceedings - 100 days of the new Commission – Delivering on defence, competitiveness, simplification and migration as our priorities (topical debate) - Wednesday, 12 March 2025",https://www.europarl.europa.eu/doceo/document/CRE-10-2025-03-12-ITM-010_EN.html,"  Tomas Tobé (PPE).   – Madam President, Vice-President, a clear EPP priority for the coming years i",EPP,SWE
197402,Tomas,Tobé,ba178ed7b401848e1073c1792fd26720,CriticizesBorderFence,0.002329054987058,neutral,"Verbatim report of proceedings - 100 days of the new Commission – Delivering on defence, competitiveness, simplification and migration as our priorities (topical debate) - Wednesday, 12 March 2025",https://www.europarl.europa.eu/doceo/document/CRE-10-2025-03-12-ITM-010_EN.html,"  Tomas Tobé (PPE).   – Madam President, Vice-President, a clear EPP priority for the coming years i",EPP,SWE
